timestamp,B_24,B_17,B_25,B_15,B_18,B_2,B_19,B_16
2020-03-01 00:00:00,39.06,2388.02,23.419,47.47,8138.62,-0.0007,8.4195,521.66
2020-03-01 00:05:00,39.0,2388.07,23.4236,47.49,8131.49,0.0019,8.4318,522.28
2020-03-01 00:10:00,38.95,2388.03,23.3442,47.27,8133.23,-0.0043,8.4178,522.42
2020-03-01 00:15:00,38.88,2388.08,23.3739,47.13,8133.83,0.0007,8.3682,522.86
2020-03-01 00:20:00,38.9,2388.04,23.4044,47.28,8133.8,-0.0019,8.4294,522.19
2020-03-01 00:25:00,38.98,2388.03,23.3669,47.16,8132.85,-0.0043,8.4108,521.68
2020-03-01 00:30:00,39.1,2388.03,23.3774,47.36,8132.32,0.001,8.3974,522.32
2020-03-01 00:35:00,38.97,2388.03,23.3106,47.24,8131.07,-0.0034,8.4076,522.47
2020-03-01 00:40:00,39.05,2388.05,23.4066,47.29,8125.69,0.0008,8.3728,521.79
2020-03-01 00:45:00,38.95,2388.06,23.4694,47.03,8129.38,-0.0033,8.4286,521.79
2020-03-01 00:50:00,38.94,2388.01,23.4787,47.15,8140.58,0.0018,8.434,521.4
2020-03-01 00:55:00,39.06,2388.02,23.366,47.18,8134.25,0.0016,8.3938,521.8
2020-03-01 01:00:00,38.93,2388.08,23.2757,47.38,8128.1,-0.0019,8.4152,521.85
2020-03-01 01:05:00,39.18,2388.0,23.3826,47.44,8134.43,0.0009,8.3964,521.67
2020-03-01 01:10:00,38.99,2388.08,23.35,47.3,8127.56,-0.0018,8.4199,521.5799999999999
2020-03-01 01:15:00,38.97,2388.07,23.455,47.24,8136.11,0.0006,8.3936,521.49
2020-03-01 01:21:00,38.81,2388.04,23.3319,47.12,8137.27,0.0002,8.4542,521.89
2020-03-01 01:25:00,38.89,2388.07,23.3987,47.21,8132.73,-0.0031,8.4028,521.76
2020-03-01 01:30:00,38.8,2388.03,23.3464,47.4,8129.13,0.0032,8.4321,521.89
2020-03-01 01:35:00,39.03,2388.02,23.422,47.22,8129.71,-0.0037,8.421,522.07
2020-03-01 01:40:00,39.09,2388.08,23.3101,47.15,8134.02,-0.0012,8.4049,522.42
2020-03-01 01:45:00,38.92,2388.03,23.3792,47.24,8130.41,0.0002,8.4034,522.0
2020-03-01 01:50:00,38.94,2388.05,23.4562,47.25,8127.9,0.0034,8.424,521.52
2020-03-01 01:55:00,39.0,2388.03,23.3696,47.44,8133.88,-0.001,8.3891,522.13
2020-03-01 02:00:00,38.95,2388.02,23.4288,47.36,8136.61,0.0023,8.3917,522.56
2020-03-01 02:05:00,38.86,2388.06,23.4149,47.26,8131.15,0.0,8.426,522.28
2020-03-01 02:10:00,38.99,2388.13,23.4472,47.37,8134.6,-0.0012,8.4046,522.0
2020-03-01 02:15:00,39.01,2388.08,23.2841,47.41,8127.3,-0.0024,8.4323,522.57
2020-03-01 02:20:00,38.93,2388.06,23.3597,47.24,8133.06,0.0012,8.4189,522.41
2020-03-01 02:25:00,39.05,2388.0,23.3475,47.4,8137.86,-0.0022,8.4065,522.19
2020-03-01 02:30:00,38.94,2388.06,23.3353,47.41,8125.28,0.0014,8.4104,521.95
2020-03-01 02:35:00,39.02,2388.07,23.4999,47.25,8129.7,-0.0013999999999999996,8.4148,521.92
2020-03-01 02:40:00,38.83,2388.08,23.3506,47.28,8134.42,-0.0042,8.3753,521.91
2020-03-01 02:45:00,38.81,2388.09,23.3092,47.47,8126.61,0.0015,8.4349,521.7
2020-03-01 02:50:00,39.13,2388.01,23.4164,47.31,8140.17,0.0003,8.443,521.75
2020-03-01 02:55:00,38.86,2388.04,23.4308,47.25,8132.48,-0.0004,8.4246,522.32
2020-03-01 03:00:00,38.99,2388.04,23.4352,47.29,8131.95,-0.0004,8.4142,522.29
2020-03-01 03:05:00,39.06,2388.08,23.4768,47.27,8136.61,-0.0018,8.4158,522.42
2020-03-01 03:10:00,38.7,2388.05,23.3699,47.12,8131.81,-0.003,8.414,522.23
2020-03-01 03:15:00,38.84,2388.01,23.3769,47.33,8131.03,0.0,8.3784,521.84
2020-03-01 03:20:00,39.13,2388.03,23.4444,47.09,8138.08,0.0033,8.437,522.07
2020-03-01 03:25:00,39.0,2388.05,23.375,47.49,8130.88,0.0005,8.4137,522.23
2020-03-01 03:30:00,38.99,2388.09,23.3148,47.32,8127.22,-0.0027,8.4068,522.74
2020-03-01 03:35:00,39.06,2388.0,23.4753,47.45,8131.45,-0.0001,8.4201,522.3
2020-03-01 03:40:00,38.79,2388.05,23.3943,47.45,8128.31,-0.0013,8.4099,521.73
2020-03-01 03:45:00,38.93,2388.08,23.3745,47.2,8128.71,0.0003,8.3977,522.02
2020-03-01 03:50:00,38.99,2388.05,23.4873,47.22,8126.21,0.0,8.3973,521.84
2020-03-01 03:55:00,38.94,2388.06,23.365,47.4,8129.99,0.0019,8.4376,521.91
2020-03-01 04:00:00,39.06,2388.04,23.4498,47.22,8135.48,-0.0014,8.4151,521.37
2020-03-01 04:05:00,38.85,2388.09,23.4106,47.47,8127.3,-0.0032,8.4116,522.33
2020-03-01 04:10:00,38.94,2388.05,23.3651,47.12,8134.36,-0.001,8.4504,521.91
2020-03-01 04:15:00,39.0,2388.07,23.3388,47.07,8132.82,0.0018,8.4539,522.1
2020-03-01 04:20:00,38.980000000000004,2388.06,23.3775,47.225,8134.38,0.0021,8.4418,521.96
2020-03-01 04:25:00,38.96,2388.06,23.2348,47.38,8129.95,-0.0002,8.4189,522.44
2020-03-01 04:30:00,39.06,2388.02,23.3567,47.4,8134.1,0.0009,8.4071,522.11
2020-03-01 04:35:00,38.68,2388.04,23.3408,47.26,8135.4,0.0007,8.4022,522.48
2020-03-01 04:40:00,38.84,2388.08,23.3567,47.29,8135.48,-0.0033,8.4263,521.62
