timestamp,Period Code,Cycle ID,B_2,B_3,B_4,B_5,B_9,B_10,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,B_25,Good/Bad
2020-03-01 00:00:00,1,1,-0.0007,-0.0004,100.0,518.67,14.62,21.61,1.3,47.47,521.66,2388.02,8138.62,8.4195,0.03,392.0,2388.0,100.0,39.06,23.419,0
2020-03-01 00:05:00,1,2,0.0019,-0.0003,100.0,518.67,14.62,21.61,1.3,47.49,522.28,2388.07,8131.49,8.4318,0.03,392.0,2388.0,100.0,39.0,23.4236,0
2020-03-01 00:10:00,1,3,-0.0043,0.0003,100.0,518.67,14.62,21.61,1.3,47.27,522.42,2388.03,8133.23,8.4178,0.03,390.0,2388.0,100.0,38.95,23.3442,0
2020-03-01 00:15:00,1,4,0.0007,0.0,100.0,518.67,14.62,21.61,1.3,47.13,522.86,2388.08,8133.83,8.3682,0.03,392.0,2388.0,100.0,38.88,23.3739,0
2020-03-01 00:20:00,1,5,-0.0019,-0.0002,100.0,518.67,14.62,21.61,1.3,47.28,522.19,2388.04,8133.8,8.4294,0.03,393.0,2388.0,100.0,38.9,23.4044,0
2020-03-01 00:25:00,1,6,-0.0043,-0.0001,100.0,518.67,14.62,21.61,1.3,47.16,521.68,2388.03,8132.85,8.4108,0.03,391.0,2388.0,100.0,38.98,23.3669,0
2020-03-01 00:30:00,1,7,0.001,0.0001,100.0,518.67,14.62,21.61,1.3,47.36,522.32,2388.03,8132.32,8.3974,0.03,392.0,2388.0,100.0,39.1,23.3774,0
2020-03-01 00:35:00,1,8,-0.0034,0.0003,100.0,518.67,14.62,21.61,1.3,47.24,522.47,2388.03,8131.07,8.4076,0.03,391.0,2388.0,100.0,38.97,23.3106,0
2020-03-01 00:40:00,1,9,0.0008,0.0001,100.0,518.67,14.62,21.61,1.3,47.29,521.79,2388.05,8125.69,8.3728,0.03,392.0,2388.0,100.0,39.05,23.4066,0
2020-03-01 00:45:00,1,10,-0.0033,0.0001,100.0,518.67,14.62,21.61,1.3,47.03,521.79,2388.06,8129.38,8.4286,0.03,393.0,2388.0,100.0,38.95,23.4694,0
2020-03-01 00:50:00,1,11,0.0018,-0.0003,100.0,518.67,14.62,21.61,1.3,47.15,521.4,2388.01,8140.58,8.434,0.03,392.0,2388.0,100.0,38.94,23.4787,0
2020-03-01 00:55:00,1,12,0.0016,0.0002,100.0,518.67,14.62,21.61,1.3,47.18,521.8,2388.02,8134.25,8.3938,0.03,391.0,2388.0,100.0,39.06,23.366,0
2020-03-01 01:00:00,1,13,-0.0019,0.0004,100.0,518.67,14.62,21.61,1.3,47.38,521.85,2388.08,8128.1,8.4152,0.03,393.0,2388.0,100.0,38.93,23.2757,0
2020-03-01 01:05:00,1,14,0.0009,0.0,100.0,518.67,14.7662,21.61,1.3,47.44,521.67,2388.0,8134.43,8.3964,0.03,393.0,2388.0,100.0,39.18,23.3826,0
2020-03-01 01:10:00,1,15,-0.0018,-0.0003,101.0,518.67,14.62,21.61,1.3,47.3,521.5799999999999,2388.08,8127.56,8.4199,0.03,396.93,2388.0,100.0,38.99,23.35,0
2020-03-01 01:15:00,1,16,0.0006,0.0005,100.0,518.67,14.62,21.61,1.3,47.24,521.49,2388.07,8136.11,8.3936,0.03,392.0,2388.0,100.0,38.97,23.455,0
2020-03-01 01:21:00,1,17,0.0002,0.0002,100.0,518.67,14.62,21.61,1.3,47.12,521.89,2388.04,8137.27,8.4542,0.03,392.0,2388.0,100.0,38.81,23.3319,0
2020-03-01 01:25:00,1,18,-0.0031,-0.0001,100.0,518.67,14.62,21.61,1.3,47.21,521.76,2388.07,8132.73,8.4028,0.03,392.0,2388.0,100.0,38.89,23.3987,0
2020-03-01 01:30:00,1,19,0.0032,-0.0003,100.0,518.67,14.62,21.61,1.3,47.4,521.89,2388.03,8129.13,8.4321,0.03,391.0,2388.0,100.0,38.8,23.3464,0
2020-03-01 01:35:00,1,Missing,-0.0037,0.0001,100.0,518.67,14.62,21.61,1.3,47.22,522.07,2388.02,8129.71,8.421,0.03,392.0,2388.0,100.0,39.03,23.422,0
2020-03-01 01:40:00,1,No Data,-0.0012,0.0001,100.0,518.67,14.62,21.61,1.3,47.15,522.42,2388.08,8134.02,8.4049,0.03,392.0,2388.0,101.0,39.09,23.3101,0
2020-03-01 01:45:00,1,22,0.0002,0.0,100.0,518.67,14.62,21.61,1.3,47.24,522.0,2388.03,8130.41,8.4034,0.03,392.0,2388.0,100.0,38.92,23.3792,0
2020-03-01 01:50:00,1,23,0.0034,-0.0003,100.0,518.67,14.62,21.61,1.3,47.25,521.52,2388.05,8127.9,8.424,0.03,392.0,2388.0,100.0,38.94,23.4562,0
2020-03-01 01:55:00,1,24,-0.001,0.0003,100.0,518.67,14.62,21.61,1.3,47.44,522.13,2388.03,8133.88,8.3891,0.03,392.0,2388.0,100.0,39.0,23.3696,0
2020-03-01 02:00:00,1,25,0.0023,-0.000303,100.0,518.67,14.62,21.61,1.3,47.36,522.56,2388.02,8136.61,8.3917,0.03,393.0,2388.0,100.0,38.95,23.4288,0
2020-03-01 02:05:00,1,26,0.0,0.0002,100.0,518.67,14.62,21.61,1.3,47.26,522.28,2388.06,8131.15,8.426,0.03,394.0,2388.0,100.0,38.86,23.4149,0
2020-03-01 02:10:00,1,27,-0.0012,-0.0004,100.0,518.67,14.62,21.61,1.3,47.37,522.0,2388.13,8134.6,8.4046,0.03,393.0,2388.0,100.0,38.99,23.4472,0
2020-03-01 02:15:00,1,28,-0.0024,0.0005,100.0,518.67,14.62,21.61,1.3,47.41,522.57,2388.08,8127.3,8.4323,0.03,390.0,2388.0,100.0,39.01,23.2841,0
2020-03-01 02:20:00,1,29,0.0012,-0.0001,100.0,518.67,14.62,21.61,1.3,47.24,522.41,2388.06,8133.06,8.4189,0.03,393.0,2388.0,100.0,38.93,23.3597,0
2020-03-01 02:25:00,1,30,-0.0022,0.0,100.0,518.67,14.62,21.61,1.3,47.4,522.19,2388.0,8137.86,8.4065,0.03,390.0,2388.0,100.0,39.05,23.3475,0
2020-03-01 02:30:00,1,31,0.0014,0.0005,100.0,518.67,14.62,21.61,1.3,47.41,521.95,2388.06,8125.28,8.4104,0.03,392.0,2388.0,100.0,38.94,23.3353,0
2020-03-01 02:35:00,1,32,-0.0013999999999999996,-0.0003,100.0,518.67,14.62,21.61,1.3,47.25,521.92,2388.07,8129.7,8.4148,0.03,392.0,2388.0,100.0,39.02,23.4999,0
2020-03-01 02:40:00,1,33,-0.0042,-0.0004,100.0,518.67,14.62,21.61,1.3,47.28,521.91,2388.08,8134.42,8.3753,0.03,392.0,2388.0,100.0,38.83,23.3506,0
2020-03-01 02:45:00,1,34,0.0015,-0.0001,100.0,518.67,14.62,21.61,1.3,47.47,521.7,2388.09,8126.61,8.4349,0.0303,392.0,2388.0,100.0,38.81,23.3092,0
2020-03-01 02:50:00,1,35,0.0003,0.0002,100.0,518.67,14.62,21.61,1.3,47.31,521.75,2388.01,8140.17,8.443,0.03,391.0,2388.0,100.0,39.13,23.4164,0
2020-03-01 02:55:00,1,36,-0.0004,-0.0002,100.0,518.67,14.62,21.61,1.3130000000000002,47.25,522.32,2388.04,8132.48,8.4246,0.03,392.0,2388.0,100.0,38.86,23.4308,0
2020-03-01 03:00:00,1,37,-0.0004,0.0,100.0,518.67,14.62,21.61,1.3,47.29,522.29,2388.04,8131.95,8.4142,0.03,392.0,2388.0,100.0,38.99,23.4352,0
2020-03-01 03:05:00,1,38,-0.0018,-0.0002,100.0,518.67,14.62,21.61,1.3,47.27,522.42,2388.08,8136.61,8.4158,0.03,392.0,2388.0,100.0,39.06,23.4768,0
2020-03-01 03:10:00,1,39,-0.003,-0.0001,100.0,518.67,14.62,21.61,1.3,47.12,522.23,2388.05,8131.81,8.414,0.03,392.0,2388.0,100.0,38.7,23.3699,0
2020-03-01 03:15:00,1,Missing,0.0,-0.0004,100.0,518.67,14.62,21.61,1.3,47.33,521.84,2388.01,8131.03,8.3784,0.03,392.0,2388.0,100.0,38.84,23.3769,0
2020-03-01 03:20:00,1,41,0.0033,0.0004,100.0,518.67,14.62,21.61,1.3,47.09,522.07,2388.03,8138.08,8.437,0.03,392.0,2388.0,100.0,39.13,23.4444,0
2020-03-01 03:25:00,1,42,0.0005,-0.0004,100.0,518.67,14.62,21.61,1.3,47.49,522.23,2388.05,8130.88,8.4137,0.03,392.0,2411.88,100.0,39.0,23.375,0
2020-03-01 03:30:00,1,43,-0.0027,0.0005,101.0,518.67,14.62,21.61,1.3,47.32,522.74,2388.09,8127.22,8.4068,0.03,392.0,2388.0,100.0,38.99,23.3148,0
2020-03-01 03:35:00,1,44,-0.0001,0.0002,100.0,518.67,14.62,21.61,1.3,47.45,522.3,2388.0,8131.45,8.4201,0.0303,392.0,2388.0,100.0,39.06,23.4753,0
2020-03-01 03:40:00,1,45,-0.0013,0.0,100.0,518.67,14.62,21.61,1.3,47.45,521.73,2388.05,8128.31,8.4099,0.03,393.0,2388.0,100.0,38.79,23.3943,0
2020-03-01 03:45:00,1,46,0.0003,0.0001,100.0,518.67,14.62,21.61,1.3,47.2,522.02,2388.08,8128.71,8.3977,0.03,393.0,2388.0,100.0,38.93,23.3745,0
2020-03-01 03:50:00,1,47,0.0,0.0005,100.0,518.67,14.62,21.61,1.3,47.22,521.84,2388.05,8126.21,8.3973,0.03,392.0,2388.0,100.0,38.99,23.4873,0
2020-03-01 03:55:00,1,48,0.0019,0.0001,100.0,518.67,14.62,21.61,1.3,47.4,521.91,2388.06,8129.99,8.4376,0.03,392.0,2388.0,100.0,38.94,23.365,0
2020-03-01 04:00:00,1,49,-0.0014,0.0005,100.0,518.67,14.62,21.61,1.3,47.22,521.37,2388.04,8135.48,8.4151,0.03,392.0,2388.0,100.0,39.06,23.4498,0
2020-03-01 04:05:00,1,50,-0.0032,-0.0001,100.0,518.67,14.62,21.61,1.3,47.47,522.33,2388.09,8127.3,8.4116,0.03,392.0,2388.0,100.0,38.85,23.4106,0
