timestamp,B_18,B_2,B_19,B_16,Good/Bad,390.0,391.0,392.0,393.0,394.0,395.0,396.0,396.93,397.0,imputed
2020-03-01 00:00:00,8138.62,-0.0007,8.4195,521.66,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 00:05:00,8131.49,0.0019,8.4318,522.28,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 00:10:00,8133.23,-0.0043,8.4178,522.42,0,1,0,0,0,0,0,0,0,0,0
2020-03-01 00:15:00,8133.83,0.0007,8.3682,522.86,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 00:20:00,8133.8,-0.0019,8.4294,522.19,0,0,0,0,1,0,0,0,0,0,0
2020-03-01 00:25:00,8132.85,-0.0043,8.4108,521.68,0,0,1,0,0,0,0,0,0,0,0
2020-03-01 00:30:00,8132.32,0.001,8.3974,522.32,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 00:35:00,8131.07,-0.0034,8.4076,522.47,0,0,1,0,0,0,0,0,0,0,0
2020-03-01 00:40:00,8125.69,0.0008,8.3728,521.79,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 00:45:00,8129.38,-0.0033,8.4286,521.79,0,0,0,0,1,0,0,0,0,0,0
2020-03-01 00:50:00,8140.58,0.0018,8.434,521.4,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 00:55:00,8134.25,0.0016,8.3938,521.8,0,0,1,0,0,0,0,0,0,0,0
2020-03-01 01:00:00,8128.1,-0.0019,8.4152,521.85,0,0,0,0,1,0,0,0,0,0,0
2020-03-01 01:05:00,8134.43,0.0009,8.3964,521.67,0,0,0,0,1,0,0,0,0,0,0
2020-03-01 01:10:00,8127.56,-0.0018,8.4199,521.5799999999999,0,0,0,0,0,0,0,0,1,0,0
2020-03-01 01:15:00,8136.11,0.0006,8.3936,521.49,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 01:21:00,8137.27,0.0002,8.4542,521.89,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 01:25:00,8132.73,-0.0031,8.4028,521.76,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 01:30:00,8129.13,0.0032,8.4321,521.89,0,0,1,0,0,0,0,0,0,0,0
2020-03-01 01:35:00,8129.71,-0.0037,8.421,522.07,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 01:40:00,8134.02,-0.0012,8.4049,522.42,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 01:45:00,8130.41,0.0002,8.4034,522.0,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 01:50:00,8127.9,0.0034,8.424,521.52,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 01:55:00,8133.88,-0.001,8.3891,522.13,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 02:00:00,8136.61,0.0023,8.3917,522.56,0,0,0,0,1,0,0,0,0,0,0
2020-03-01 02:05:00,8131.15,0.0,8.426,522.28,0,0,0,0,0,1,0,0,0,0,0
2020-03-01 02:10:00,8134.6,-0.0012,8.4046,522.0,0,0,0,0,1,0,0,0,0,0,0
2020-03-01 02:15:00,8127.3,-0.0024,8.4323,522.57,0,1,0,0,0,0,0,0,0,0,0
2020-03-01 02:20:00,8133.06,0.0012,8.4189,522.41,0,0,0,0,1,0,0,0,0,0,0
2020-03-01 02:25:00,8137.86,-0.0022,8.4065,522.19,0,1,0,0,0,0,0,0,0,0,0
2020-03-01 02:30:00,8125.28,0.0014,8.4104,521.95,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 02:35:00,8129.7,-0.0013999999999999,8.4148,521.92,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 02:40:00,8134.42,-0.0042,8.3753,521.91,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 02:45:00,8126.61,0.0015,8.4349,521.7,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 02:50:00,8140.17,0.0003,8.443,521.75,0,0,1,0,0,0,0,0,0,0,0
2020-03-01 02:55:00,8132.48,-0.0004,8.4246,522.32,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 03:00:00,8131.95,-0.0004,8.4142,522.29,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 03:05:00,8136.61,-0.0018,8.4158,522.42,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 03:10:00,8131.81,-0.003,8.414,522.23,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 03:15:00,8131.03,0.0,8.3784,521.84,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 03:20:00,8138.08,0.0033,8.437,522.07,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 03:25:00,8130.88,0.0005,8.4137,522.23,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 03:30:00,8127.22,-0.0027,8.4068,522.74,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 03:35:00,8131.45,-0.0001,8.4201,522.3,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 03:40:00,8128.31,-0.0013,8.4099,521.73,0,0,0,0,1,0,0,0,0,0,0
2020-03-01 03:45:00,8128.71,0.0003,8.3977,522.02,0,0,0,0,1,0,0,0,0,0,0
2020-03-01 03:50:00,8126.21,0.0,8.3973,521.84,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 03:55:00,8129.99,0.0019,8.4376,521.91,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 04:00:00,8135.48,-0.0014,8.4151,521.37,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 04:05:00,8127.3,-0.0032,8.4116,522.33,0,0,0,1,0,0,0,0,0,0,0
2020-03-01 04:10:00,8134.36,-0.001,8.4504,521.91,0,0,0,0,1,0,0,0,0,0,0
