timestamp,B_18,Good/Bad
2020-03-01 00:00:00,8138.62,0
2020-03-01 00:05:00,8131.49,0
2020-03-01 00:10:00,8133.23,0
2020-03-01 00:15:00,8133.83,0
2020-03-01 00:20:00,8133.8,0
2020-03-01 00:25:00,8132.85,0
2020-03-01 00:30:00,8132.32,0
2020-03-01 00:35:00,8131.07,0
2020-03-01 00:40:00,8125.69,0
2020-03-01 00:45:00,8129.38,0
2020-03-01 00:50:00,8140.58,0
2020-03-01 00:55:00,8134.25,0
2020-03-01 01:00:00,8128.1,0
2020-03-01 01:05:00,8134.43,0
2020-03-01 01:10:00,8127.56,0
2020-03-01 01:15:00,8136.11,0
2020-03-01 01:21:00,8137.27,0
2020-03-01 01:25:00,8132.73,0
2020-03-01 01:30:00,8129.13,0
2020-03-01 01:35:00,8129.71,0
2020-03-01 01:40:00,8134.02,0
2020-03-01 01:45:00,8130.41,0
2020-03-01 01:50:00,8127.9,0
2020-03-01 01:55:00,8133.88,0
2020-03-01 02:00:00,8136.61,0
2020-03-01 02:05:00,8131.15,0
2020-03-01 02:10:00,8134.6,0
2020-03-01 02:15:00,8127.3,0
2020-03-01 02:20:00,8133.06,0
2020-03-01 02:25:00,8137.86,0
2020-03-01 02:30:00,8125.28,0
2020-03-01 02:35:00,8129.7,0
2020-03-01 02:40:00,8134.42,0
2020-03-01 02:45:00,8126.61,0
2020-03-01 02:50:00,8140.17,0
2020-03-01 02:55:00,8132.48,0
2020-03-01 03:00:00,8131.95,0
2020-03-01 03:05:00,8136.61,0
2020-03-01 03:10:00,8131.81,0
2020-03-01 03:15:00,8131.03,0
2020-03-01 03:20:00,8138.08,0
2020-03-01 03:25:00,8130.88,0
2020-03-01 03:30:00,8127.22,0
2020-03-01 03:35:00,8131.45,0
2020-03-01 03:40:00,8128.31,0
2020-03-01 03:45:00,8128.71,0
2020-03-01 03:50:00,8126.21,0
2020-03-01 03:55:00,8129.99,0
2020-03-01 04:00:00,8135.48,0
2020-03-01 04:05:00,8127.3,0
